Date,Passenger (M),Month,Year,Type
Jan-19,2.22,January,2019,A
Feb-19,1.79,February,2019,A
Mar-19,1.66,March,2019,A
Apr-19,1.67,April,2019,A
May-19,1.59,May,2019,A
Jun-19,1.56,June,2019,A
Jul-19,2.01,July,2019,A
Aug-19,1.78,August,2019,A
Sep-19,1.75,September,2019,A
Oct-19,1.98,October,2019,A
Nov-19,1.72,November,2019,A
Dec-19,1.89,December,2019,A
Jan-20,2.26,January,2020,A
Feb-20,1.57,February,2020,A
Mar-20,0.92,March,2020,A
Apr-20,0.02,April,2020,A
May-20,0.02,May,2020,A
Jun-20,0.03,June,2020,A
Jul-20,0.02,July,2020,A
Aug-20,0.01,August,2020,A
Sep-20,0.02,September,2020,A
Oct-20,0.02,October,2020,A
Nov-20,0.03,November,2020,A
Dec-20,0.03,December,2020,A
Jan-19,1.91,January,2019,D
Feb-19,1.52,February,2019,D
Mar-19,1.68,March,2019,D
Apr-19,1.83,April,2019,D
May-19,1.63,May,2019,D
Jun-19,1.8,June,2019,D
Jul-19,1.76,July,2019,D
Aug-19,1.81,August,2019,D
Sep-19,1.8,September,2019,D
Oct-19,1.68,October,2019,D
Nov-19,1.74,November,2019,D
Dec-19,2.24,December,2019,D
Jan-20,1.97,January,2020,D
Feb-20,1.29,February,2020,D
Mar-20,0.83,March,2020,D
Apr-20,0.06,April,2020,D
May-20,0.03,May,2020,D
Jun-20,0.04,June,2020,D
Jul-20,0.06,July,2020,D
Aug-20,0.06,August,2020,D
Sep-20,0.05,September,2020,D
Oct-20,0.05,October,2020,D
Nov-20,0.04,November,2020,D
Dec-20,0.05,December,2020,D
